#,How confident are you now in managing your emotions and staying calm when things get stressful at work or in life?,"After learning about emotional intelligence, how are you at recognizing your personal emotional triggers?",Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,Creating my Emotional Pause Plan ,Learning ways to stay calm and in control ,Talking with others about emotional stress ,Visualizing myself responding better in tough situations ,Identifying how others see me when I’m stressed ,Other,"After the Communication Styles workshop, *how well do you understand your own communication style?*",What’s the communication habit _*you most want to work on this summer?*_,Other,Are you more or less motivated about setting and actually reaching your goals after the goals workshop?,What is *ONE specific personal or professional goal* you plan to work on this summer?,What is your current clarity level about your possible career paths?,Exploring what I’m naturally good at ,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,Identifying what I don’t want in a job ,Learning that career paths can change over time ,Getting new ideas I never considered before ,"Realizing I don’t need a full plan, just a direction ",Other,How confident are you in your ability *to manage your money* this summer?,Which lessons from the *Money Moves workshop *do you think will help you most? *(Select TWO)*,Other,"After the personal branding session, how confident are you in *how you show up professionally*?",Practice my elevator pitch ,Start or improve a professional social media profile ,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,Network and build relationships ,Post content that shows who I am professionally ,Other,"Overall, how much do you feel you grew during the orientation?",Would you recommend this orientation and program to a friend or peer?,What are *TWO topics or focus areas* you wish we included in orientation that weren’t covered?,What’s *ONE SUGGESTION* you have for how we can make orientation even better next time?,What were *TWO THINGS* about this orientation that you enjoyed or found most valuable?,"How old are you?
",What is your current education status?,Other,What is your gender identity?,Other,Black or African American ,Hispanic or Latino ,White ,Asian or Pacific Islander ,American Indian or Alaska Native ,"Have you signed up to receive your paycheck with ""Direct Deposit"" and have a bank account?","If you are set up for ""direct deposit"", what is the name of your bank?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
oam23vh0nz4t7ia0x0woam23w7doyfo7,A little confident ,Much better ,Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I have a general idea ,Being more confident when I speak ,,Much more motivated ,Using voice,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Extremely confident ,Prioritizing needs vs. wants ,,Very confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,Somewhat ,Absolutely yes ,None,None,Money managing and connections,14-17,High school graduate (not in school) ,,Male ,,,Hispanic or Latino ,,,,YES,Chase,completed,2025-06-10 16:58:10,,2025-06-10 17:09:58,90b537c2b6,,
5ordtgqqahr3fbw5ordti3shk0oivatv,Very confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,Learning ways to stay calm and in control ,,,,,I understand it clearly ,Being more confident when I speak ,,Much more motivated ,To work with others,I have solid ideas ,Exploring what I’m naturally good at ,,,,,Getting new ideas I never considered before ,,,Very confident ,Learning the real cost of things ,,Very confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,More than expected,Probably yes ,Networking and communication,None,Networking,18,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,NO,Idk,completed,2025-06-10 16:58:10,,2025-06-10 17:02:25,f1c159d84e,,
4fz11o7q4ytierr3hku74fz3182lpdnr,Extremely confident ,Slightly better ,Understanding common workplace triggers ,,,,Talking with others about emotional stress ,,,,I understand it clearly ,Being more confident when I speak ,,Extremely motivated to take action now ,Saving,I have solid ideas ,,,,,,Getting new ideas I never considered before ,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Using apps to help me track money ,,Extremely confident in how I present myself ,,,,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,,,,A lot ,Absolutely yes ,N-A,N-a,Saving money also credit,24,High school graduate (not in school) ,,Female ,,Black or African American ,,,,,YES,Td bank,completed,2025-06-10 16:57:59,,2025-06-10 17:04:34,bb78315331,,
jc6ctrk6hqvoesdd54wjc6ctrouq5w2e,Very confident ,Slightly better ,Understanding common workplace triggers ,Seeing the difference between low vs. high emotional intelligence ,,,,,,,I understand it clearly ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,Saving money and getting my name out there more,I have solid ideas ,,,,Identifying what I don’t want in a job ,Learning that career paths can change over time ,,,,Very confident ,Knowing how to create a basic budget ,,Very confident ,,,,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,,,,A lot ,Probably yes ,Nothing,Food,Leaning new things,14-17,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,Columbia bank,completed,2025-06-10 16:57:54,,2025-06-10 17:01:48,04bf6ae713,,
il9lztwnpwzso004zim5il9lztwfbsv3,Extremely confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Listening more and interrupting less ,,Extremely motivated to take action now ,Buying a new PC,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,,Ask for feedback about how I come across to others ,Be more intentional about how I speak and carry myself ,,,,,A lot ,Absolutely yes ,"At the moment, I can’t think of one.","While it’s a minor thing, settling on one location is best for clarity.",Emotional Intelligence and Money Management,20,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,TD Bank,completed,2025-06-10 16:57:53,,2025-06-10 17:02:19,eb52c93cca,,
3cnlbwnzvp98l323e3cnlby9urd254g5,Extremely confident ,"A lot better, I understand them clearly now ",,,,Learning ways to stay calm and in control ,,,Identifying how others see me when I’m stressed ,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Much more motivated ,Fast pace,I feel very clear about my options and direction ,,,,,Learning that career paths can change over time ,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Understanding how to start saving now ,,Extremely confident in how I present myself ,,,,,Make a better first impression in new spaces ,Network and build relationships ,,,More than expected,Absolutely yes ,N/A,Better professionalism amongst the staff,Networking and learning,20,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Bank of America,completed,2025-06-10 16:57:49,,2025-06-10 17:08:38,70f8eec11a,,
fs74zsgj3ja124rj384wd4fs74zssbps,Very confident ,Slightly better ,,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Being more confident when I speak ,,A little more motivated ,Save money,I feel very clear about my options and direction ,,Seeing how hobbies or skills connect to real careers ,Talking with others about dream jobs and paths ,,,,,,Extremely confident ,Prioritizing needs vs. wants ,,Extremely confident in how I present myself ,,,,Be more intentional about how I speak and carry myself ,,,Post content that shows who I am professionally ,,Somewhat ,Maybe ,"Mental Health, Protecting Peace",Less work,Open conversations and good talks,22,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,TD Bank,completed,2025-06-10 16:57:47,,2025-06-10 17:03:01,f45afbaa11,,
iiguibnbu8onwg18siiguijsu66xq7kx,A little confident ,Slightly better ,,Seeing the difference between low vs. high emotional intelligence ,,,,,Identifying how others see me when I’m stressed ,,I understand it clearly ,Being more confident when I speak ,,A little more motivated ,To save my money n work on my emotional intelligence,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,Learning that career paths can change over time ,,,,Very confident ,Prioritizing needs vs. wants ,,Very confident ,Practice my elevator pitch ,Start or improve a professional social media profile ,,,,,,,Somewhat ,Maybe ,How to invest,Less work,"That it didn’t feel school, how everyone was down to earth",21,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,TD Bank,completed,2025-06-10 16:57:42,,2025-06-10 17:03:00,a51636573d,,
mk0fc4hwnmatu333sn3h0fmk0fc4b8we,Very confident ,Slightly better ,Understanding common workplace triggers ,,,,,,Identifying how others see me when I’m stressed ,,I understand it clearly ,Being more confident when I speak ,,Same ,To improve on my social and communication skills so that I can be more confident when I speak,I have a little more clarity now ,,,,,Learning that career paths can change over time ,,"Realizing I don’t need a full plan, just a direction ",,Very confident ,Seeing how fast money can disappear ,,Somewhat confident ,,,,Be more intentional about how I speak and carry myself ,Make a better first impression in new spaces ,,,,Somewhat ,Absolutely yes ,More emphasis on investing and on how to present yourself in your verbal tone,Orientation could be a bit more organized when it comes to making sure everyone gets to where they need to be more efficiently,Communication styles and building your brand,23,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,YES,"TD Bank, N.A.",completed,2025-06-10 16:57:35,,2025-06-10 17:16:13,2e98e2816d,,
oqewxu0qozxw1win4fssoqewxu001rge,Very confident ,Slightly better ,,,,Learning ways to stay calm and in control ,Talking with others about emotional stress ,,,,I have a general idea ,Knowing how to adjust depending on who I’m talking to ,,Much more motivated ,Learning to save money,I feel very clear about my options and direction ,,,Talking with others about dream jobs and paths ,,,Getting new ideas I never considered before ,,,Somewhat confident ,Learning the real cost of things ,,Somewhat confident ,,,,Be more intentional about how I speak and carry myself ,,,Post content that shows who I am professionally ,,A little bit ,Probably yes ,Save money and learning to control my emotions,None,Activity and energy,20,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Capital one,completed,2025-06-10 16:57:34,,2025-06-10 17:01:39,4170a396db,,
cgps4h2mdq37ccgpsuyauydceek16fhs,Very confident ,Much better ,,Seeing the difference between low vs. high emotional intelligence ,,,,Visualizing myself responding better in tough situations ,,,I know it and I’m already working to improve it ,Managing body language and non-verbal cues ,,Much more motivated ,To stay focused and do my thing,I have solid ideas ,,,Talking with others about dream jobs and paths ,,,Getting new ideas I never considered before ,,,Very confident ,Prioritizing needs vs. wants ,,Very confident ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,Somewhat ,Probably yes ,Investing and building relationships,No packet because it was not used often,Networking,20,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 16:57:34,,2025-06-10 17:03:56,ffa4d18ed0,,
a5bux4eyfq0w37a5bunlaj2bhrccm5vq,Very confident ,"A lot better, I understand them clearly now ",Understanding common workplace triggers ,,,,,,Identifying how others see me when I’m stressed ,,I understand it clearly ,Being more confident when I speak ,,Much more motivated ,Growing to become better at everything,I have a little more clarity now ,Exploring what I’m naturally good at ,,,,Learning that career paths can change over time ,,,,Very confident ,Seeing how fast money can disappear ,,Somewhat confident ,,,,,Make a better first impression in new spaces ,,Post content that shows who I am professionally ,,A lot ,Absolutely yes ,I don’t know,Nothing,I get to connect with People of same interest,14-17,High school graduate (not in school) ,,Male ,,Black or African American ,,,,,I'm not sure,TD Bank,completed,2025-06-10 16:57:34,,2025-06-10 17:03:36,da6d3aad3f,,
2erc4226su0ht44yld522erc42gyew22,Very confident ,Much better ,,,,,Talking with others about emotional stress ,Visualizing myself responding better in tough situations ,,,I have a general idea ,Being more confident when I speak ,,A little more motivated ,Being more confident when speaking to others,I have solid ideas ,,,,Identifying what I don’t want in a job ,,,"Realizing I don’t need a full plan, just a direction ",,Extremely confident ,Seeing how fast money can disappear ,,A little more confident ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,Somewhat ,Probably yes ,Dressing professionally and more on handling conflicts in the workplace,Maybe a way to have a separate room for each session because it was hard to hear when two were in the same room,Learning about how to build your personal brand and how to communicate effectively,19,Currently enrolled in 2/4-year college ,,Female ,,,Hispanic or Latino ,,,,YES,Wells Fargo,completed,2025-06-10 16:57:31,,2025-06-10 17:04:01,f38a2d0cbb,,
je289s3qu2nabiqhkg2m7g2je28lpy4p,Very confident ,Much better ,Understanding common workplace triggers ,,,,Talking with others about emotional stress ,,,,I have a general idea ,Being more confident when I speak ,,A little more motivated ,To invest in myself directly in 2 ways,I have solid ideas ,,Seeing how hobbies or skills connect to real careers ,,,Learning that career paths can change over time ,,,,Somewhat confident ,Learning the real cost of things ,,Very confident ,,,,,,Network and build relationships ,Post content that shows who I am professionally ,,More than expected,Probably yes ,I’m not sure,Starting on time,"Meeting new people, emotional intelligence lessons",18,Currently enrolled in 2/4-year college ,,Female ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 16:57:29,,2025-06-10 17:17:50,3b56f1a422,,
oq7lvo5xhpvpcdv2toq7lvhz221pidph,Very confident ,Slightly better ,,Seeing the difference between low vs. high emotional intelligence ,Creating my Emotional Pause Plan ,,,,,,I have a general idea ,Listening more and interrupting less ,,Much more motivated ,learn how to budget and create a more flexible plan,I have a little more clarity now ,,,Talking with others about dream jobs and paths ,Identifying what I don’t want in a job ,,,,,Very confident ,Knowing how to create a basic budget ,,Somewhat confident ,Practice my elevator pitch ,,,,Make a better first impression in new spaces ,,,,Somewhat ,Probably not ,n/a,be more organized,how to keep calm and behave in a setting,23,High school graduate (not in school) ,,Female ,,Black or African American ,,,,,YES,Valley Bank,completed,2025-06-10 16:57:23,,2025-06-10 16:59:58,cb0ea651b1,,
ddp4knxhyob5o1j2gddp4k9vd7rs3tuh,Extremely confident ,Much better ,Understanding common workplace triggers ,,,,,Visualizing myself responding better in tough situations ,,,I understand it clearly ,Managing body language and non-verbal cues ,,Extremely motivated to take action now ,networking,I feel very clear about my options and direction ,Exploring what I’m naturally good at ,,Talking with others about dream jobs and paths ,,,,,,Extremely confident ,Prioritizing needs vs. wants ,,Extremely confident in how I present myself ,,Start or improve a professional social media profile ,,,,Network and build relationships ,,,More than expected,Absolutely yes ,business attire and professionalism,longer groups,networking lessons and money management,20,Currently enrolled in 2/4-year college ,,Male ,,Black or African American ,,,,,YES,Wells Fargo,completed,2025-06-10 16:57:23,,2025-06-10 17:04:41,87098cabe1,,
zli9lylt3k8p874zflbgqzli90j7v7fq,Extremely confident ,"A lot better, I understand them clearly now ",,,,,Talking with others about emotional stress ,,Identifying how others see me when I’m stressed ,,I have a general idea ,Managing body language and non-verbal cues ,,Much more motivated ,Djing,I have a little more clarity now ,,Seeing how hobbies or skills connect to real careers ,,,,Getting new ideas I never considered before ,,,Very confident ,Seeing how fast money can disappear ,,Somewhat confident ,,,,Be more intentional about how I speak and carry myself ,,Network and build relationships ,,,A lot ,Probably yes ,Stress relief,N/A,Making new friends and talking,20,High school graduate (not in school) ,,Non-binary ,,Black or African American ,,,,,NO,Sofi,completed,2025-06-10 16:57:22,,2025-06-10 17:01:29,050134482c,,
